Name	Unified	DoCoMo	KDDI	Softbank	Google
	tear-off calendar	U+1F4C6	-	U+E56A	-	U+FE549
	bar chart	U+1F4CA	-	U+E574	U+E14A	U+FE54A
	chart with upwards trend	U+1F4C8	-	U+E575	U+E14A	U+FE54B
	chart with downwards trend	U+1F4C9	-	U+E576	-	U+FE54C
	card index	U+1F4C7	U+E683	U+E56C	U+E148	U+FE54D
	pushpin	U+1F4CC	-	U+E56D	-	U+FE54E
	ledger	U+1F4D2	U+E683	U+E56E	U+E148	U+FE54F
	straight ruler	U+1F4CF	-	U+E570	-	U+FE550
	triangular ruler	U+1F4D0	-	U+E4A2	-	U+FE551
	bookmark tabs	U+1F4D1	U+E689	U+EB0B	U+E301	U+FE552
	running shirt with sash	U+1F3BD	U+E652	-	-	U+FE7D0
	baseball	U+26BE	U+E653	U+E4BA	U+E016	U+FE7D1
	flag in hole	U+26F3	U+E654	U+E599	U+E014	U+FE7D2
	tennis racquet and ball	U+1F3BE	U+E655	U+E4B7	U+E015	U+FE7D3
	soccer ball	U+26BD	U+E656	U+E4B6	U+E018	U+FE7D4
	ski and ski boot	U+1F3BF	U+E657	U+EAAC	U+E013	U+FE7D5
	basketball and hoop	U+1F3C0	U+E658	U+E59A	U+E42A	U+FE7D6
	chequered flag	U+1F3C1	U+E659	U+E4B9	U+E132	U+FE7D7
	snowboarder	U+1F3C2	U+E712	U+E4B8	-	U+FE7D8
	runner	U+1F3C3	U+E733	U+E46B	U+E115	U+FE7D9
	surfer	U+1F3C4	U+E712	U+EB41	U+E017	U+FE7DA
	trophy	U+1F3C6	-	U+E5D3	U+E131	U+FE7DB
	american football	U+1F3C8	-	U+E4BB	U+E42B	U+FE7DD
	swimmer	U+1F3CA	-	U+EADE	U+E42D	U+FE7DE
	railway car	U+1F683	U+E65B	U+E4B5	U+E01E	U+FE7DF
	metro	U+1F687	U+E65C	U+E5BC	U+E434	U+FE7E0
	circled latin capital letter m	U+24C2	U+E65C	U+E5BC	U+E434	U+FE7E1
	high-speed train	U+1F684	U+E65D	U+E4B0	U+E435	U+FE7E2
	high-speed train with bullet nose	U+1F685	U+E65D	U+E4B0	U+E01F	U+FE7E3
	automobile	U+1F697	U+E65E	U+E4B1	U+E01B	U+FE7E4
	recreational vehicle	U+1F699	U+E65F	U+E4B1	U+E42E	U+FE7E5
	bus	U+1F68C	U+E660	U+E4AF	U+E159	U+FE7E6
	bus stop	U+1F68F	-	U+E4A7	U+E150	U+FE7E7
	ship	U+1F6A2	U+E661	U+EA82	U+E202	U+FE7E8
	airplane	U+2708	U+E662	U+E4B3	U+E01D	U+FE7E9
	sailboat	U+26F5	U+E6A3	U+E4B4	U+E01C	U+FE7EA
	station	U+1F689	-	U+EB6D	U+E039	U+FE7EC
	rocket	U+1F680	-	U+E5C8	U+E10D	U+FE7ED
	speedboat	U+1F6A4	U+E6A3	U+E4B4	U+E135	U+FE7EE
	taxi	U+1F695	U+E65E	U+E4B1	U+E15A	U+FE7EF
	delivery truck	U+1F69A	-	U+E4B2	U+E42F	U+FE7F1
	fire engine	U+1F692	-	U+EADF	U+E430	U+FE7F2
	ambulance	U+1F691	-	U+EAE0	U+E431	U+FE7F3
	police car	U+1F693	-	U+EAE1	U+E432	U+FE7F4
	fuel pump	U+26FD	U+E66B	U+E571	U+E03A	U+FE7F5
	negative squared latin capital letter p	U+1F17F	U+E66C	U+E4A6	U+E14F	U+FE7F6
	horizontal traffic light	U+1F6A5	U+E66D	U+E46A	U+E14E	U+FE7F7
	construction sign	U+1F6A7	-	U+E5D7	U+E137	U+FE7F8
	police cars revolving light	U+1F6A8	-	U+EB73	U+E432	U+FE7F9
	hot springs	U+2668	U+E6F7	U+E4BC	U+E123	U+FE7FA
	tent	U+26FA	-	U+E5D0	U+E122	U+FE7FB
	carousel horse	U+1F3A0	U+E679	-	-	U+FE7FC
	ferris wheel	U+1F3A1	-	U+E46D	U+E124	U+FE7FD
	roller coaster	U+1F3A2	-	U+EAE2	U+E433	U+FE7FE
	fishing pole and fish	U+1F3A3	U+E751	U+EB42	U+E019	U+FE7FF
	microphone	U+1F3A4	U+E676	U+E503	U+E03C	U+FE800
	movie camera	U+1F3A5	U+E677	U+E517	U+E03D	U+FE801
	cinema	U+1F3A6	U+E677	U+E517	U+E507	U+FE802
	headphone	U+1F3A7	U+E67A	U+E508	U+E30A	U+FE803
	artist palette	U+1F3A8	U+E67B	U+E59C	U+E502	U+FE804
	top hat	U+1F3A9	U+E67C	U+EAF5	U+E503	U+FE805
	circus tent	U+1F3AA	U+E67D	U+E59E	-	U+FE806
	ticket	U+1F3AB	U+E67E	U+E49E	U+E125	U+FE807
	clapper board	U+1F3AC	U+E6AC	U+E4BE	U+E324	U+FE808
	performing arts	U+1F3AD	-	U+E59D	U+E503	U+FE809
	video game	U+1F3AE	U+E68B	U+E4C6	-	U+FE80A
	mahjong tile red dragon	U+1F004	-	U+E5D1	U+E12D	U+FE80B
	direct hit	U+1F3AF	-	U+E4C5	U+E130	U+FE80C
	slot machine	U+1F3B0	-	U+E46E	U+E133	U+FE80D
	billiards	U+1F3B1	-	U+EADD	U+E42C	U+FE80E
	game die	U+1F3B2	-	U+E4C8	-	U+FE80F
	bowling	U+1F3B3	-	U+EB43	-	U+FE810
	flower playing cards	U+1F3B4	-	U+EB6E	-	U+FE811
	playing card black joker	U+1F0CF	-	U+EB6F	-	U+FE812
	musical note	U+1F3B5	U+E6F6	U+E5BE	U+E03E	U+FE813
	multiple musical notes	U+1F3B6	U+E6FF	U+E505	U+E326	U+FE814
	saxophone	U+1F3B7	-	-	U+E040	U+FE815
	guitar	U+1F3B8	-	U+E506	U+E041	U+FE816
	musical keyboard	U+1F3B9	-	U+EB40	-	U+FE817
	trumpet	U+1F3BA	-	U+EADC	U+E042	U+FE818
	violin	U+1F3BB	-	U+E507	-	U+FE819
	musical score	U+1F3BC	U+E6FF	U+EACC	U+E326	U+FE81A
	part alternation mark	U+303D	-	-	U+E12C	U+FE81B
	camera	U+1F4F7	U+E681	U+E515	U+E008	U+FE4EF
	video camera	U+1F4F9	U+E677	U+E57E	U+E03D	U+FE4F9
	television	U+1F4FA	U+E68A	U+E502	U+E12A	U+FE81C
	radio	U+1F4FB	-	U+E5B9	U+E128	U+FE81F
	videocassette	U+1F4FC	-	U+E580	U+E129	U+FE820
	kiss mark	U+1F48B	U+E6F9	U+E4EB	U+E003	U+FE823
	love letter	U+1F48C	U+E717	U+EB78	U+E103 U+E328	U+FE824
	ring	U+1F48D	U+E71B	U+E514	U+E034	U+FE825
	gem stone	U+1F48E	U+E71B	U+E514	U+E035	U+FE826
	kiss	U+1F48F	U+E6F9	U+E5CA	U+E111	U+FE827
	bouquet	U+1F490	-	U+EA95	U+E306	U+FE828
	couple with heart	U+1F491	U+E6ED	U+EADA	U+E425	U+FE829
	wedding	U+1F492	-	U+E5BB	U+E43D	U+FE82A
	no one under eighteen symbol	U+1F51E	-	U+EA83	U+E207	U+FEB25
	copyright sign	U+00A9	U+E731	U+E558	U+E24E	U+FEB29
	registered sign	U+00AE	U+E736	U+E559	U+E24F	U+FEB2D
	trade mark sign	U+2122	U+E732	U+E54E	U+E537	U+FEB2A
	information source	U+2139	-	U+E533	-	U+FEB47
	hash key	U+0023 U+20E3	U+E6E0	U+EB84	U+E210	U+FE82C
	keycap 1	U+0031 U+20E3	U+E6E2	U+E522	U+E21C	U+FE82E
	keycap 2	U+0032 U+20E3	U+E6E3	U+E523	U+E21D	U+FE82F
	keycap 3	U+0033 U+20E3	U+E6E4	U+E524	U+E21E	U+FE830
	keycap 4	U+0034 U+20E3	U+E6E5	U+E525	U+E21F	U+FE831
	keycap 5	U+0035 U+20E3	U+E6E6	U+E526	U+E220	U+FE832
	keycap 6	U+0036 U+20E3	U+E6E7	U+E527	U+E221	U+FE833
	keycap 7	U+0037 U+20E3	U+E6E8	U+E528	U+E222	U+FE834
	keycap 8	U+0038 U+20E3	U+E6E9	U+E529	U+E223	U+FE835
	keycap 9	U+0039 U+20E3	U+E6EA	U+E52A	U+E224	U+FE836
	keycap 0	U+0030 U+20E3	U+E6EB	U+E5AC	U+E225	U+FE837
	keycap ten	U+1F51F	-	U+E52B	-	U+FE83B
	antenna with bars	U+1F4F6	-	U+EA84	U+E20B	U+FE838
	vibration mode	U+1F4F3	-	U+EA90	U+E250	U+FE839
	mobile phone off	U+1F4F4	-	U+EA91	U+E251	U+FE83A
	hamburger	U+1F354	U+E673	U+E4D6	U+E120	U+FE960
	rice ball	U+1F359	U+E749	U+E4D5	U+E342	U+FE961
	shortcake	U+1F370	U+E74A	U+E4D0	U+E046	U+FE962
	steaming bowl	U+1F35C	U+E74C	U+E5B4	U+E340	U+FE963
	bread	U+1F35E	U+E74D	U+EAAF	U+E339	U+FE964
	cooking	U+1F373	-	U+E4D1	U+E147	U+FE965
	soft ice cream	U+1F366	-	U+EAB0	U+E33A	U+FE966
	french fries	U+1F35F	-	U+EAB1	U+E33B	U+FE967
	dango	U+1F361	-	U+EAB2	U+E33C	U+FE968
	rice cracker	U+1F358	-	U+EAB3	U+E33D	U+FE969
	cooked rice	U+1F35A	U+E74C	U+EAB4	U+E33E	U+FE96A
	spaghetti	U+1F35D	-	U+EAB5	U+E33F	U+FE96B
	curry and rice	U+1F35B	-	U+EAB6	U+E341	U+FE96C
	oden	U+1F362	-	U+EAB7	U+E343	U+FE96D
	sushi	U+1F363	-	U+EAB8	U+E344	U+FE96E
	bento box	U+1F371	-	U+EABD	U+E34C	U+FE96F
	pot of food	U+1F372	-	U+EABE	U+E34D	U+FE970
	shaved ice	U+1F367	-	U+EAEA	U+E43F	U+FE971
	meat on bone	U+1F356	-	U+E4C4	-	U+FE972
	fish cake with swirl design	U+1F365	U+E643	U+E4ED	-	U+FE973
	roasted sweet potato	U+1F360	-	U+EB3A	-	U+FE974
	slice of pizza	U+1F355	-	U+EB3B	-	U+FE975
	poultry leg	U+1F357	-	U+EB3C	-	U+FE976
	ice cream	U+1F368	-	U+EB4A	-	U+FE977
	doughnut	U+1F369	-	U+EB4B	-	U+FE978
	cookie	U+1F36A	-	U+EB4C	-	U+FE979
	chocolate bar	U+1F36B	-	U+EB4D	-	U+FE97A
	candy	U+1F36C	-	U+EB4E	-	U+FE97B
	lollipop	U+1F36D	-	U+EB4F	-	U+FE97C
	custard	U+1F36E	-	U+EB56	-	U+FE97D
	honey pot	U+1F36F	-	U+EB59	-	U+FE97E
	fried shrimp	U+1F364	-	U+EB70	-	U+FE97F
	fork and knife	U+1F374	U+E66F	U+E4AC	U+E043	U+FE980
	hot beverage	U+2615	U+E670	U+E597	U+E045	U+FE981
	cocktail glass	U+1F378	U+E671	U+E4C2	U+E044	U+FE982
	beer mug	U+1F37A	U+E672	U+E4C3	U+E047	U+FE983
	teacup without handle	U+1F375	U+E71E	U+EAAE	U+E338	U+FE984
	sake bottle and cup	U+1F376	U+E74B	U+EA97	U+E30B	U+FE985
	wine glass	U+1F377	U+E756	U+E4C1	U+E044	U+FE986
	clinking beer mugs	U+1F37B	U+E672	U+EA98	U+E30C	U+FE987
	tropical drink	U+1F379	U+E671	U+EB3E	U+E044	U+FE988
	north east arrow	U+2197	U+E678	U+E555	U+E236	U+FEAF0
	south east arrow	U+2198	U+E696	U+E54D	U+E238	U+FEAF1
	north west arrow	U+2196	U+E697	U+E54C	U+E237	U+FEAF2
	south west arrow	U+2199	U+E6A5	U+E556	U+E239	U+FEAF3
	arrow pointing rightwards then curving upwards	U+2934	U+E6F5	U+EB2D	U+E236	U+FEAF4
	arrow pointing rightwards then curving downwards	U+2935	U+E700	U+EB2E	U+E238	U+FEAF5
	left right arrow	U+2194	U+E73C	U+EB7A	-	U+FEAF6
	up down arrow	U+2195	U+E73D	U+EB7B	-	U+FEAF7
	upwards black arrow	U+2B06	-	U+E53F	U+E232	U+FEAF8
	downwards black arrow	U+2B07	-	U+E540	U+E233	U+FEAF9
	black rightwards arrow	U+27A1	-	U+E552	U+E234	U+FEAFA
	leftwards black arrow	U+2B05	-	U+E553	U+E235	U+FEAFB
	black right-pointing triangle	U+25B6	-	U+E52E	U+E23A	U+FEAFC
	black left-pointing triangle	U+25C0	-	U+E52D	U+E23B	U+FEAFD
	black right-pointing double triangle	U+23E9	-	U+E530	U+E23C	U+FEAFE
	black left-pointing double triangle	U+23EA	-	U+E52F	U+E23D	U+FEAFF
	black up-pointing double triangle	U+23EB	-	U+E545	-	U+FEB03
	black down-pointing double triangle	U+23EC	-	U+E544	-	U+FEB02
	up-pointing red triangle	U+1F53A	-	U+E55A	-	U+FEB78
	down-pointing red triangle	U+1F53B	-	U+E55B	-	U+FEB79
	up-pointing small red triangle	U+1F53C	-	U+E543	-	U+FEB01
	down-pointing small red triangle	U+1F53D	-	U+E542	-	U+FEB00
	heavy large circle	U+2B55	U+E6A0	U+EAAD	U+E332	U+FEB44
	cross mark	U+274C	-	U+E550	U+E333	U+FEB45
	negative squared cross mark	U+274E	-	U+E551	U+E333	U+FEB46
	heavy exclamation mark symbol	U+2757	U+E702	U+E482	U+E021	U+FEB04
	exclamation question mark	U+2049	U+E703	U+EB2F	-	U+FEB05
	double exclamation mark	U+203C	U+E704	U+EB30	-	U+FEB06
	black question mark ornament	U+2753	-	U+E483	U+E020	U+FEB09
	white question mark ornament	U+2754	-	U+E483	U+E336	U+FEB0A
	white exclamation mark ornament	U+2755	U+E702	U+E482	U+E337	U+FEB0B
	wavy dash	U+3030	U+E709	-	-	U+FEB07
	curly loop	U+27B0	U+E70A	U+EB31	-	U+FEB08
	double curly loop	U+27BF	U+E6DF	-	U+E211	U+FE82B
	heavy black heart	U+2764	U+E6EC	U+E595	U+E022	U+FEB0C
	beating heart	U+1F493	U+E6ED	U+EB75	U+E327	U+FEB0D
	broken heart	U+1F494	U+E6EE	U+E477	U+E023	U+FEB0E
	two hearts	U+1F495	U+E6EF	U+E478	U+E327	U+FEB0F
	sparkling heart	U+1F496	U+E6EC	U+EAA6	U+E327	U+FEB10
	growing heart	U+1F497	U+E6ED	U+EB75	U+E328	U+FEB11
	heart with arrow	U+1F498	U+E6EC	U+E4EA	U+E329	U+FEB12
	blue heart	U+1F499	U+E6EC	U+EAA7	U+E32A	U+FEB13
	green heart	U+1F49A	U+E6EC	U+EAA8	U+E32B	U+FEB14
	yellow heart	U+1F49B	U+E6EC	U+EAA9	U+E32C	U+FEB15
	purple heart	U+1F49C	U+E6EC	U+EAAA	U+E32D	U+FEB16
	heart with ribbon	U+1F49D	U+E6EC	U+EB54	U+E437	U+FEB17
	revolving hearts	U+1F49E	U+E6ED	U+E5AF	U+E327	U+FEB18
	heart decoration	U+1F49F	U+E6F8	U+E595	U+E204	U+FEB19
	black heart suit	U+2665	U+E68D	U+EAA5	U+E20C	U+FEB1A
	black spade suit	U+2660	U+E68E	U+E5A1	U+E20E	U+FEB1B
	black diamond suit	U+2666	U+E68F	U+E5A2	U+E20D	U+FEB1C
	black club suit	U+2663	U+E690	U+E5A3	U+E20F	U+FEB1D
	smoking symbol	U+1F6AC	U+E67F	U+E47D	U+E30E	U+FEB1E
	no smoking symbol	U+1F6AD	U+E680	U+E47E	U+E208	U+FEB1F
	wheelchair symbol	U+267F	U+E69B	U+E47F	U+E20A	U+FEB20
	triangular flag on post	U+1F6A9	U+E6DE	U+EB2C	-	U+FEB22
	warning sign	U+26A0	U+E737	U+E481	U+E252	U+FEB23
	no entry	U+26D4	U+E72F	U+E484	U+E137	U+FEB26
	black universal recycling symbol	U+267B	U+E735	U+EB79	-	U+FEB2C
	bicycle	U+1F6B2	U+E71D	U+E4AE	U+E136	U+FE7EB
	pedestrian	U+1F6B6	U+E733	U+EB72	U+E201	U+FE7F0
	mens symbol	U+1F6B9	-	-	U+E138	U+FEB33
	womens symbol	U+1F6BA	-	-	U+E139	U+FEB34
	bath	U+1F6C0	U+E6F7	U+E5D8	U+E13F	U+FE505
	restroom	U+1F6BB	U+E66E	U+E4A5	U+E151	U+FE506
	toilet	U+1F6BD	U+E66E	U+E4A5	U+E140	U+FE507
	water closet	U+1F6BE	U+E66E	U+E4A5	U+E309	U+FE508
	baby symbol	U+1F6BC	-	U+EB18	U+E13A	U+FEB35
	door	U+1F6AA	U+E714	-	-	U+FE4F3
	no entry sign	U+1F6AB	U+E738	U+E541	-	U+FEB48
	heavy check mark	U+2714	-	U+E557	-	U+FEB49
	squared cl	U+1F191	U+E6DB	U+E5AB	-	U+FEB84
	squared cool	U+1F192	-	U+EA85	U+E214	U+FEB38
	squared free	U+1F193	U+E6D7	U+E578	-	U+FEB21
	squared id	U+1F194	U+E6D8	U+EA88	U+E229	U+FEB81
	squared new	U+1F195	U+E6DD	U+E5B5	U+E212	U+FEB36
	squared ng	U+1F196	U+E72F	-	-	U+FEB28
	squared ok	U+1F197	U+E70B	U+E5AD	U+E24D	U+FEB27
	squared sos	U+1F198	-	U+E4E8	-	U+FEB4F
	squared up with exclamation mark	U+1F199	-	U+E50F	U+E213	U+FEB37
	squared vs	U+1F19A	-	U+E5D2	U+E12E	U+FEB32
	squared katakana koko	U+1F201	-	-	U+E203	U+FEB24
	squared katakana sa	U+1F202	-	U+EA87	U+E228	U+FEB3F
	squared cjk unified ideograph-7981	U+1F232	U+E738	-	-	U+FEB2E
	squared cjk unified ideograph-7a7a	U+1F233	U+E739	U+EA8A	U+E22B	U+FEB2F
	squared cjk unified ideograph-5408	U+1F234	U+E73A	-	-	U+FEB30
	squared cjk unified ideograph-6e80	U+1F235	U+E73B	U+EA89	U+E22A	U+FEB31
	squared cjk unified ideograph-6709	U+1F236	-	-	U+E215	U+FEB39
	squared cjk unified ideograph-7121	U+1F21A	-	-	U+E216	U+FEB3A
	squared cjk unified ideograph-6708	U+1F237	-	-	U+E217	U+FEB3B
	squared cjk unified ideograph-7533	U+1F238	-	-	U+E218	U+FEB3C
	squared cjk unified ideograph-5272	U+1F239	-	U+EA86	U+E227	U+FEB3E
	squared cjk unified ideograph-6307	U+1F22F	-	U+EA8B	U+E22C	U+FEB40
	squared cjk unified ideograph-55b6	U+1F23A	-	U+EA8C	U+E22D	U+FEB41
	circled ideograph secret	U+3299	U+E734	U+E4F1	U+E315	U+FEB2B
	circled ideograph congratulation	U+3297	-	U+EA99	U+E30D	U+FEB43
	circled ideograph advantage	U+1F250	-	U+E4F7	U+E226	U+FEB3D
	circled ideograph accept	U+1F251	-	U+EB01	-	U+FEB50
	heavy plus sign	U+2795	-	U+E53C	-	U+FEB51
	heavy minus sign	U+2796	-	U+E53D	-	U+FEB52
	heavy multiplication x	U+2716	-	U+E54F	U+E333	U+FEB53
	heavy division sign	U+2797	-	U+E554	-	U+FEB54
	diamond shape with a dot inside	U+1F4A0	U+E6F8	-	-	U+FEB55
	electric light bulb	U+1F4A1	U+E6FB	U+E476	U+E10F	U+FEB56
	anger symbol	U+1F4A2	U+E6FC	U+E4E5	U+E334	U+FEB57
	bomb	U+1F4A3	U+E6FE	U+E47A	U+E311	U+FEB58
	sleeping symbol	U+1F4A4	U+E701	U+E475	U+E13C	U+FEB59
	collision symbol	U+1F4A5	U+E705	U+E5B0	-	U+FEB5A
	splashing sweat symbol	U+1F4A6	U+E706	U+E5B1	U+E331	U+FEB5B
	droplet	U+1F4A7	U+E707	U+E4E6	U+E331	U+FEB5C
	dash symbol	U+1F4A8	U+E708	U+E4F4	U+E330	U+FEB5D
	pile of poo	U+1F4A9	-	U+E4F5	U+E05A	U+FE4F4
	flexed biceps	U+1F4AA	-	U+E4E9	U+E14C	U+FEB5E
	dizzy symbol	U+1F4AB	-	U+EB5C	U+E407	U+FEB5F
	speech balloon	U+1F4AC	-	U+E4FD	-	U+FE532
	sparkles	U+2728	U+E6FA	U+EAAB	U+E32E	U+FEB60
	eight pointed black star	U+2734	U+E6F8	U+E479	U+E205	U+FEB61
	eight spoked asterisk	U+2733	U+E6F8	U+E53E	U+E206	U+FEB62
	medium white circle	U+26AA	U+E69C	U+E53A	U+E219	U+FEB65
	medium black circle	U+26AB	U+E69C	U+E53B	U+E219	U+FEB66
	large red circle	U+1F534	U+E69C	U+E54A	U+E219	U+FEB63
	large blue circle	U+1F535	U+E69C	U+E54B	U+E21A	U+FEB64
	black square button	U+1F532	U+E69C	U+E54B	U+E21A	U+FEB64
	white square button	U+1F533	U+E69C	U+E54B	U+E21B	U+FEB67
	white medium star	U+2B50	-	U+E48B	U+E32F	U+FEB68
	white large square	U+2B1C	-	U+E548	U+E21B	U+FEB6B
	black large square	U+2B1B	-	U+E549	U+E21A	U+FEB6C
	white small square	U+25AB	-	U+E531	U+E21B	U+FEB6D
	black small square	U+25AA	-	U+E532	U+E21A	U+FEB6E
	white medium small square	U+25FD	-	U+E534	U+E21B	U+FEB6F
	black medium small square	U+25FE	-	U+E535	U+E21A	U+FEB70
	white medium square	U+25FB	-	U+E538	U+E21B	U+FEB71
	black medium square	U+25FC	-	U+E539	U+E21A	U+FEB72
	large orange diamond	U+1F536	-	U+E546	U+E21B	U+FEB73
	large blue diamond	U+1F537	-	U+E547	U+E21B	U+FEB74
	small orange diamond	U+1F538	-	U+E536	U+E21B	U+FEB75
	small blue diamond	U+1F539	-	U+E537	U+E21B	U+FEB76
	sparkle	U+2747	U+E6FA	U+E46C	U+E32E	U+FEB77
	white flower	U+1F4AE	-	U+E4F0	-	U+FEB7A
	hundred points symbol	U+1F4AF	-	U+E4F2	-	U+FEB7B
	leftwards arrow with hook	U+21A9	U+E6DA	U+E55D	-	U+FEB83
	rightwards arrow with hook	U+21AA	-	U+E55C	-	U+FEB88
	clockwise downwards and upwards open circle arrows	U+1F503	U+E735	U+EB0D	-	U+FEB91
	speaker with three sound waves	U+1F50A	-	U+E511	U+E141	U+FE821
	battery	U+1F50B	-	U+E584	-	U+FE4FC
	electric plug	U+1F50C	-	U+E589	-	U+FE4FE
	left-pointing magnifying glass	U+1F50D	U+E6DC	U+E518	U+E114	U+FEB85
	right-pointing magnifying glass	U+1F50E	U+E6DC	U+EB05	U+E114	U+FEB8D
	lock	U+1F512	U+E6D9	U+E51C	U+E144	U+FEB86
	open lock	U+1F513	U+E6D9	U+E51C	U+E145	U+FEB87
	lock with ink pen	U+1F50F	U+E6D9	U+EB0C	U+E144	U+FEB90
	closed lock with key	U+1F510	U+E6D9	U+EAFC	U+E144	U+FEB8A
	key	U+1F511	U+E6D9	U+E519	U+E03F	U+FEB82
	bell	U+1F514	U+E713	U+E512	U+E325	U+FE4F2
	ballot box with check	U+2611	-	U+EB02	-	U+FEB8B
	radio button	U+1F518	-	U+EB04	-	U+FEB8C
	bookmark	U+1F516	-	U+EB07	-	U+FEB8F
	link symbol	U+1F517	-	U+E58A	-	U+FEB4B
	back with leftwards arrow above	U+1F519	-	U+EB06	U+E235	U+FEB8E
	end with leftwards arrow above	U+1F51A	U+E6B9	-	-	U+FE01A
	on with exclamation mark with left right arrow above	U+1F51B	U+E6B8	-	-	U+FE019
	soon with rightwards arrow above	U+1F51C	U+E6B7	-	-	U+FE018
	top with upwards arrow above	U+1F51D	-	-	U+E24C	U+FEB42
	white heavy check mark	U+2705	-	U+E55E	-	U+FEB4A
	raised fist	U+270A	U+E693	U+EB83	U+E010	U+FEB93
	raised hand	U+270B	U+E695	U+E5A7	U+E012	U+FEB95
	victory hand	U+270C	U+E694	U+E5A6	U+E011	U+FEB94
	fisted hand sign	U+1F44A	U+E6FD	U+E4F3	U+E00D	U+FEB96
	thumbs up sign	U+1F44D	U+E727	U+E4F9	U+E00E	U+FEB97
	white up pointing index	U+261D	-	U+E4F6	U+E00F	U+FEB98
	white up pointing backhand index	U+1F446	-	U+EA8D	U+E22E	U+FEB99
	white down pointing backhand index	U+1F447	-	U+EA8E	U+E22F	U+FEB9A
	white left pointing backhand index	U+1F448	-	U+E4FF	U+E230	U+FEB9B
	white right pointing backhand index	U+1F449	-	U+E500	U+E231	U+FEB9C
	waving hand sign	U+1F44B	U+E695	U+EAD6	U+E41E	U+FEB9D
	clapping hands sign	U+1F44F	-	U+EAD3	U+E41F	U+FEB9E
	ok hand sign	U+1F44C	U+E70B	U+EAD4	U+E420	U+FEB9F
	thumbs down sign	U+1F44E	U+E700	U+EAD5	U+E421	U+FEBA0
	open hands sign	U+1F450	U+E695	U+EAD6	U+E422	U+FEBA1
