Name	Unified	DoCoMo	KDDI	Softbank	Google
	nose	U+1F443	-	U+EAD0	U+E41A	U+FE192
	mouth	U+1F444	U+E6F9	U+EAD1	U+E41C	U+FE193
	tongue	U+1F445	U+E728	U+EB47	U+E409	U+FE194
	lipstick	U+1F484	U+E710	U+E509	U+E31C	U+FE195
	nail polish	U+1F485	-	U+EAA0	U+E31D	U+FE196
	face massage	U+1F486	-	U+E50B	U+E31E	U+FE197
	haircut	U+1F487	U+E675	U+EAA1	U+E31F	U+FE198
	barber pole	U+1F488	-	U+EAA2	U+E320	U+FE199
	bust in silhouette	U+1F464	U+E6B1	-	-	U+FE19A
	boy	U+1F466	U+E6F0	U+E4FC	U+E001	U+FE19B
	girl	U+1F467	U+E6F0	U+E4FA	U+E002	U+FE19C
	man	U+1F468	U+E6F0	U+E4FC	U+E004	U+FE19D
	woman	U+1F469	U+E6F0	U+E4FA	U+E005	U+FE19E
	family	U+1F46A	-	U+E501	-	U+FE19F
	man and woman holding hands	U+1F46B	-	-	U+E428	U+FE1A0
	police officer	U+1F46E	-	U+E5DD	U+E152	U+FE1A1
	woman with bunny ears	U+1F46F	-	U+EADB	U+E429	U+FE1A2
	bride with veil	U+1F470	-	U+EAE9	-	U+FE1A3
	person with blond hair	U+1F471	-	U+EB13	U+E515	U+FE1A4
	man with gua pi mao	U+1F472	-	U+EB14	U+E516	U+FE1A5
	man with turban	U+1F473	-	U+EB15	U+E517	U+FE1A6
	older man	U+1F474	-	U+EB16	U+E518	U+FE1A7
	older woman	U+1F475	-	U+EB17	U+E519	U+FE1A8
	baby	U+1F476	-	U+EB18	U+E51A	U+FE1A9
	construction worker	U+1F477	-	U+EB19	U+E51B	U+FE1AA
	princess	U+1F478	-	U+EB1A	U+E51C	U+FE1AB
	japanese ogre	U+1F479	-	U+EB44	-	U+FE1AC
	japanese goblin	U+1F47A	-	U+EB45	-	U+FE1AD
	ghost	U+1F47B	-	U+E4CB	U+E11B	U+FE1AE
	baby angel	U+1F47C	-	U+E5BF	U+E04E	U+FE1AF
	extraterrestrial alien	U+1F47D	-	U+E50E	U+E10C	U+FE1B0
	alien monster	U+1F47E	-	U+E4EC	U+E12B	U+FE1B1
	imp	U+1F47F	-	U+E4EF	U+E11A	U+FE1B2
	skull	U+1F480	-	U+E4F8	U+E11C	U+FE1B3
	information desk person	U+1F481	-	-	U+E253	U+FE1B4
	guardsman	U+1F482	-	-	U+E51E	U+FE1B5
	dancer	U+1F483	-	U+EB1C	U+E51F	U+FE1B6
	snail	U+1F40C	U+E74E	U+EB7E	-	U+FE1B9
	snake	U+1F40D	-	U+EB22	U+E52D	U+FE1D3
	horse	U+1F40E	U+E754	U+E4D8	U+E134	U+FE7DC
	chicken	U+1F414	-	U+EB23	U+E52E	U+FE1D4
	boar	U+1F417	-	U+EB24	U+E52F	U+FE1D5
	bactrian camel	U+1F42B	-	U+EB25	U+E530	U+FE1D6
	elephant	U+1F418	-	U+EB1F	U+E526	U+FE1CC
	koala	U+1F428	-	U+EB20	U+E527	U+FE1CD
	monkey	U+1F412	-	U+E4D9	U+E528	U+FE1CE
	sheep	U+1F411	-	U+E48F	U+E529	U+FE1CF
	octopus	U+1F419	-	U+E5C7	U+E10A	U+FE1C5
	spiral shell	U+1F41A	-	U+EAEC	U+E441	U+FE1C6
	bug	U+1F41B	-	U+EB1E	U+E525	U+FE1CB
	ant	U+1F41C	-	U+E4DD	-	U+FE1DA
	honeybee	U+1F41D	-	U+EB57	-	U+FE1E1
	lady beetle	U+1F41E	-	U+EB58	-	U+FE1E2
	tropical fish	U+1F420	U+E751	U+EB1D	U+E522	U+FE1C9
	blowfish	U+1F421	U+E751	U+E4D3	U+E019	U+FE1D9
	turtle	U+1F422	-	U+E5D4	-	U+FE1DC
	baby chick	U+1F424	U+E74F	U+E4E0	U+E523	U+FE1BA
	front-facing baby chick	U+1F425	U+E74F	U+EB76	U+E523	U+FE1BB
	bird	U+1F426	U+E74F	U+E4E0	U+E521	U+FE1C8
	hatching chick	U+1F423	U+E74F	U+E5DB	U+E523	U+FE1DD
	penguin	U+1F427	U+E750	U+E4DC	U+E055	U+FE1BC
	poodle	U+1F429	U+E6A1	U+E4DF	U+E052	U+FE1D8
	fish	U+1F41F	U+E751	U+E49A	U+E019	U+FE1BD
	dolphin	U+1F42C	-	U+EB1B	U+E520	U+FE1C7
	mouse face	U+1F42D	-	U+E5C2	U+E053	U+FE1C2
	tiger face	U+1F42F	-	U+E5C0	U+E050	U+FE1C0
	cat face	U+1F431	U+E6A2	U+E4DB	U+E04F	U+FE1B8
	spouting whale	U+1F433	-	U+E470	U+E054	U+FE1C3
	horse face	U+1F434	U+E754	U+E4D8	U+E01A	U+FE1BE
	monkey face	U+1F435	-	U+E4D9	U+E109	U+FE1C4
	dog face	U+1F436	U+E6A1	U+E4E1	U+E052	U+FE1B7
	pig face	U+1F437	U+E755	U+E4DE	U+E10B	U+FE1BF
	bear face	U+1F43B	-	U+E5C1	U+E051	U+FE1C1
	hamster face	U+1F439	-	-	U+E524	U+FE1CA
	wolf face	U+1F43A	U+E6A1	U+E4E1	U+E52A	U+FE1D0
	cow face	U+1F42E	-	U+EB21	U+E52B	U+FE1D1
	rabbit face	U+1F430	-	U+E4D7	U+E52C	U+FE1D2
	frog face	U+1F438	-	U+E4DA	U+E531	U+FE1D7
	paw prints	U+1F43E	U+E698	U+E4EE	U+E536	U+FE1DB
	dragon face	U+1F432	-	U+EB3F	-	U+FE1DE
	panda face	U+1F43C	-	U+EB46	-	U+FE1DF
